gap_category,gap_type,severity,description,impact,recommendation,evidence,source_documents,priority_score
integration,unmonitored_mpa,critical,MPA 'koruma bölge kurulunca' designated but no monitoring data found,Cannot assess effectiveness of protection for 'koruma bölge kurulunca',Establish monitoring program for 'koruma bölge kurulunca',"[""MPA 'koruma bölge kurulunca' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'mutlak' designated but no monitoring data found,Cannot assess effectiveness of protection for 'mutlak',Establish monitoring program for 'mutlak',"[""MPA 'mutlak' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'kısa mesafeli' designated but no monitoring data found,Cannot assess effectiveness of protection for 'kısa mesafeli',Establish monitoring program for 'kısa mesafeli',"[""MPA 'kısa mesafeli' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'kaydı konulmuş olan taşınmaz kültür varlıkları ile arkeolojik' designated but no monitoring data found,Cannot assess effectiveness of protection for 'kaydı konulmuş olan taşınmaz kültür varlıkları ile arkeolojik',Establish monitoring program for 'kaydı konulmuş olan taşınmaz kültür varlıkları ile arkeolojik',"[""MPA 'kaydı konulmuş olan taşınmaz kültür varlıkları ile arkeolojik' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'doğal' designated but no monitoring data found,Cannot assess effectiveness of protection for 'doğal',Establish monitoring program for 'doğal',"[""MPA 'doğal' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA '2873 sayılı' designated but no monitoring data found,Cannot assess effectiveness of protection for '2873 sayılı',Establish monitoring program for '2873 sayılı',"[""MPA '2873 sayılı' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'doğal sit alanları ve' designated but no monitoring data found,Cannot assess effectiveness of protection for 'doğal sit alanları ve',Establish monitoring program for 'doğal sit alanları ve',"[""MPA 'doğal sit alanları ve' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA '1983 tarihli ve 2873 sayılı' designated but no monitoring data found,Cannot assess effectiveness of protection for '1983 tarihli ve 2873 sayılı',Establish monitoring program for '1983 tarihli ve 2873 sayılı',"[""MPA '1983 tarihli ve 2873 sayılı' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'tür' designated but no monitoring data found,Cannot assess effectiveness of protection for 'tür',Establish monitoring program for 'tür',"[""MPA 'tür' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'uzun mesafeli' designated but no monitoring data found,Cannot assess effectiveness of protection for 'uzun mesafeli',Establish monitoring program for 'uzun mesafeli',"[""MPA 'uzun mesafeli' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'lar kanunu uyarınca' designated but no monitoring data found,Cannot assess effectiveness of protection for 'lar kanunu uyarınca',Establish monitoring program for 'lar kanunu uyarınca',"[""MPA 'lar kanunu uyarınca' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'yaban hayatı' designated but no monitoring data found,Cannot assess effectiveness of protection for 'yaban hayatı',Establish monitoring program for 'yaban hayatı',"[""MPA 'yaban hayatı' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'tabiatı' designated but no monitoring data found,Cannot assess effectiveness of protection for 'tabiatı',Establish monitoring program for 'tabiatı',"[""MPA 'tabiatı' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'milli parklar kanunu uyarınca' designated but no monitoring data found,Cannot assess effectiveness of protection for 'milli parklar kanunu uyarınca',Establish monitoring program for 'milli parklar kanunu uyarınca',"[""MPA 'milli parklar kanunu uyarınca' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'planlama aşamasında' designated but no monitoring data found,Cannot assess effectiveness of protection for 'planlama aşamasında',Establish monitoring program for 'planlama aşamasında',"[""MPA 'planlama aşamasında' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'ile 1 inci ve 2 nci derece arkeolojik' designated but no monitoring data found,Cannot assess effectiveness of protection for 'ile 1 inci ve 2 nci derece arkeolojik',Establish monitoring program for 'ile 1 inci ve 2 nci derece arkeolojik',"[""MPA 'ile 1 inci ve 2 nci derece arkeolojik' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA 'tapu kütüklerinde doğal' designated but no monitoring data found,Cannot assess effectiveness of protection for 'tapu kütüklerinde doğal',Establish monitoring program for 'tapu kütüklerinde doğal',"[""MPA 'tapu kütüklerinde doğal' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
integration,unmonitored_mpa,critical,MPA '1 inci derece doğal' designated but no monitoring data found,Cannot assess effectiveness of protection for '1 inci derece doğal',Establish monitoring program for '1 inci derece doğal',"[""MPA '1 inci derece doğal' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
